Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"ІПОТЕКА: Двокімнатна квартира, загальною площею 41,7 кв.м, за адресою: Харківська обл., Вовчанський р., м. Вовчанськ, вул. Пролетарське поле, буд. 12, кв. 8","Реєстрація учасників","Житлова нерухомість","Харківська обл.",,492827,117600.00,
"Земельна ділянка, загальною площею 0,0947 га, кадастровий № 2110800000:01:056:0062, що знаходиться за адресою: Закарпатська область, м. Хуст, провулок Валовий 2-ий, земельна ділянка 5","Реєстрація учасників","Земельні ділянки","Закарпатська обл.",,492828,142310.00,
"Вантажний сідловий тягач Renault Premium, 1998 р.в., ДНЗ АР4416АТ, № кузова: VF622GVA0C0007181","Реєстрація учасників","Вантажні автомобілі","Запорізька обл.",,492829,24375.00,
"Вантажний сідловий тягач IVECO Magirus, 1998 р.в., ДНЗ АР2983АТ, № кузова WJMM1VTH004202853","Реєстрація учасників","Вантажні автомобілі","Запорізька обл.",,492830,32130.50,
"ІПОТЕКА:Однокімнатна квартира у будинку готельного типу , загальна  площа 22,6 кв.м., за адресою: Харківська обл., м. Харків, Григорівське шосе, буд. 81, кв. 77","Реєстрація учасників","Житлова нерухомість","Харківська обл.",,492831,186720.00,
"Земельна ділянка, загальною площею 0,1520 га, кадастровий номер 2122785600:01:000:0221, що розташована за адресою: Закарпатська область, Мукачівський р-н., с. Нижній Коропець, урочище «Дучковш»","Реєстрація учасників","Земельні ділянки","Закарпатська обл.",,492832,141465.10,
"Земельна ділянка загальною площею 0,18 га, кадастровий номер 2125384200:03:001:0117, що знаходиться за адресою: Закарпатська область, Хустський район, с. Залом","Реєстрація учасників","Земельні ділянки","Закарпатська обл.",,492833,134750.00,
"Нежитлова будівля - ветамбулаторія, площа: 132.00 кв.м., адреса: Київська обл., Броварський р-н., с. Світильня, вул. Промислова, 1","Реєстрація учасників",Будівлі,м.Київ,,492834,69098.91,
"Транспортний засіб марки GEELY, модель СК, 2012 р.в., № шасі  L6T7524S3CN035115, реєстраційний номер АІ3389НА","Реєстрація учасників","Легкові автомобілі","Київська обл.",,492836,56475.00,
"Земельна ділянка, загальною площею 0,1 га, кадастровий номер 2122755300:10:103:0376, що розташована за адресою: Закарпатська область, Мукачівський р-н., смт. Кольчино, урочище ""Зелена Ланка""","Реєстрація учасників","Земельні ділянки","Закарпатська обл.",,492837,108150.00,
"Автомобіль легковий HYUNDAI ACCENT, рік випуску – 2005, ДНЗ : АА6869ВА, № кузова KMHCG41GP5U672325","Реєстрація учасників","Легкові автомобілі",м.Київ,,492838,42142.50,
"Товари для технічного обслуговування автомобіля - фільтри повітряні, рідина для очистки двигуна, колісних дисків та моторне мастило, у загальній кількості 74 шт.","Реєстрація учасників",Запчастини/аксесуари,"Закарпатська обл.",,492839,32367.14,
"ІПОТЕКА. Цілісний майновий комплекс, загальною площею 5686,9 кв.м., за адресою: Житомирська обл., Любарський р-н., с. Громада, вул. Польова, 2","Реєстрація учасників","Промислова нерухомість",м.Київ,,492840,7961660.00,
"Шини до легкових автомобілів, різних розмірів та марок, бувші у використанні, у кількості 55 шт.","Реєстрація учасників",Запчастини/аксесуари,"Закарпатська обл.",,492841,30331.62,
"Мопед ""Benneng"", без реєстраційного номера, рік випуску невстановлений, VIN: L5YAMCJE8H1125623","Реєстрація учасників",Мототранспорт,"Закарпатська обл.",,492842,16264.02,
"Спальна кабіна торгівельної марки ISM Pony Fantasy, країна виробництва Чехія, 2016 р.в., бувша у використанні","Реєстрація учасників",Запчастини/аксесуари,"Закарпатська обл.",,492844,9437.29,
"ІПОТЕКА. Житловий будинок загальною площею 266,5 м.кв., за адресою: Одеська область, Овідіопольський район, с. Лиманка (Мізікевича), ж/м ""Совіньон"" вул. Володимирська, 30","Реєстрація учасників","Житлова нерухомість","Одеська обл.",,492843,2621838.40,
"ГАЗ 3307, автобус, 1993 р.в., №шасі ХТН330700Р1475496, жовтого кольору, днз АВ7543СН","Торги відбулися",Автобуси,"Вінницька обл.","Учасник №7",490268,21630.00,23203.00
